"","locations.lon","locations.lat"
"628",-95.712891,37.09024
"629",NA,NA
"630",-0.1277583,51.5073509
"631",NA,NA
"632",NA,NA
"633",NA,NA
"634",NA,NA
"635",NA,NA
"636",NA,NA
"637",NA,NA
"638",NA,NA
"639",NA,NA
"640",NA,NA
"641",-88.0118473,41.7435073
"642",NA,NA
"643",NA,NA
"644",NA,NA
"645",NA,NA
"646",NA,NA
"647",NA,NA
"648",-76.6121893,39.2903848
"649",108.1428669,3.9456514
"650",NA,NA
"651",NA,NA
"652",NA,NA
"653",NA,NA
"654",-102.552784,23.634501
"655",NA,NA
"656",NA,NA
"657",77.2090212,28.6139391
"658",NA,NA
"659",NA,NA
"660",-95.712891,37.09024
"661",NA,NA
"662",-86.8515279,21.161908
"663",NA,NA
"664",-76.3055144,40.0378755
"665",-118.3089661,34.1808392
"666",NA,NA
"667",NA,NA
"668",NA,NA
"669",-74.0059413,40.7127837
"670",NA,NA
"671",NA,NA
"672",NA,NA
"673",NA,NA
"674",NA,NA
"675",-90.0489801,35.1495343
"676",NA,NA
"677",-82.4571776,27.950575
"678",NA,NA
"679",NA,NA
"680",NA,NA
"681",NA,NA
"682",NA,NA
"683",-94.0723226,46.2814568
"684",NA,NA
"685",-82.907123,40.4172871
"686",NA,NA
"687",144.9937739,-37.8491409
"688",15.2551187,54.5259614
"689",NA,NA
"690",NA,NA
"691",NA,NA
"692",-86.5861037,34.7303688
"693",-105.7820674,39.5500507
"694",-122.2913078,37.8271784
"695",NA,NA
"696",NA,NA
"697",-81.4575535,28.4842162
"698",78.4896235,17.4412618
"699",NA,NA
"700",NA,NA
"701",NA,NA
"702",NA,NA
"703",NA,NA
"704",-3.435973,55.378051
"705",-83.1828732,30.6846637
"706",NA,NA
"707",NA,NA
"708",NA,NA
"709",NA,NA
"710",-104.7091322,40.4233142
"711",NA,NA
"712",-74.0059413,40.7127837
"713",NA,NA
"714",NA,NA
"715",141.3470159,-5.0122202
"716",-78.8783689,42.8864468
"717",35.862285,33.854721
"718",-74.0059413,40.7127837
"719",-73.992165,41.143051
"720",NA,NA
"721",-122.177741,47.3135849
"722",-95.712891,37.09024
"723",-80.8547922,35.2170076
"724",-111.651302,35.1982836
"725",NA,NA
"726",NA,NA
"727",-79.532157,43.8169837
"728",-118.2436849,34.0522342
"729",-76.8720961,38.7849211
"730",NA,NA
"731",NA,NA
"732",NA,NA
"733",NA,NA
"734",NA,NA
"735",-71.449503,41.4500844
"736",NA,NA
"737",78.96288,20.593684
"738",-118.2436849,34.0522342
"739",-119.1770516,34.1975048
"740",-106.6055534,35.0853336
"741",NA,NA
"742",NA,NA
"743",-111.0429339,45.6769979
"744",NA,NA
"745",-99.133208,19.4326077
"746",NA,NA
"747",NA,NA
"748",NA,NA
"749",NA,NA
"750",-102.552784,23.634501
"751",-119.4179324,36.778261
"752",-106.346771,56.130366
"753",-111.413463,40.5062024
"754",-82.7192671,28.2441768
"755",NA,NA
"756",-99.133208,19.4326077
"757",113.921327,-0.789275
"758",-122.2913078,37.8271784
"759",-71.625752,-33.043424
"760",NA,NA
"761",NA,NA
"762",NA,NA
"763",-81.8661442,28.0582985
"764",-82.448732,38.259082
"765",NA,NA
"766",-95.712891,37.09024
"767",-9.0567905,53.270668
"768",-119.4179324,36.778261
"769",10.5881804,49.9873929
"770",-70.7896016,41.662808
"771",NA,NA
"772",-86.6715948,36.0597177
"773",-78.9932251,33.636663
"774",-87.6297982,41.8781136
"775",NA,NA
"776",NA,NA
"777",-118.2436849,34.0522342
"778",-66.8521565,10.378758
"779",-102.552784,23.634501
"780",NA,NA
"781",NA,NA
"782",79.3612652,11.2143483
"783",NA,NA
"784",NA,NA
"785",76.085601,29.0587757
"786",NA,NA
"787",NA,NA
"788",NA,NA
"789",NA,NA
"790",NA,NA
"791",-99.9018131,43.9695148
"792",-100.3898881,20.5887932
"793",-63.0266339,-40.8261434
"794",-84.2700179,37.8393332
"795",NA,NA
"796",77.2090212,28.6139391
"797",-100.2868973,25.7493469
"798",NA,NA
"799",-49.0147244,-28.471976
"800",NA,NA
"801",101.975766,4.210484
"802",NA,NA
"803",NA,NA
"804",-121.3235978,44.085114
"805",-99.133208,19.4326077
"806",NA,NA
"807",-79.532157,43.8169837
"808",-87.9196785,43.0405846
"809",NA,NA
"810",-76.6412712,39.0457549
"811",-74.4056612,40.0583238
"812",-122.4194155,37.7749295
"813",-123.1207375,49.2827291
"814",NA,NA
"815",-71.0588801,42.3600825
"816",-76.2999344,36.829083
"817",-70.162651,18.735693
"818",-87.4052865,37.9444882
"819",NA,NA
"820",-90.0571544,29.9672135
"821",-111.8910474,40.7607793
"822",-86.902298,32.3182314
"823",-99.2231387,19.6528089
"824",NA,NA
"825",NA,NA
"826",-86.2999689,32.3668052
"827",-71.7147951,10.6544509
"828",NA,NA
"829",NA,NA
"830",NA,NA
"831",-74.0059413,40.7127837
"832",-119.4179324,36.778261
"833",NA,NA
"834",77.2090212,28.6139391
"835",NA,NA
"836",-58.3815591,-34.6036844
"837",NA,NA
"838",NA,NA
"839",NA,NA
"840",-102.552784,23.634501
"841",-43.3468065,-22.8520103
"842",NA,NA
"843",NA,NA
"844",-82.4571776,27.950575
"845",NA,NA
"846",NA,NA
"847",-99.9018131,31.9685988
"848",NA,NA
"849",106.8060388,-6.5971469
"850",NA,NA
"851",-102.552784,23.634501
"852",NA,NA
"853",119.4327314,-5.1476651
"854",-97.3307658,32.7554883
"855",NA,NA
"856",-118.2436849,34.0522342
"857",-78.6294802,35.9006503
"858",NA,NA
"859",-102.552784,23.634501
"860",-95.712891,37.09024
"861",-102.552784,23.634501
"862",NA,NA
"863",NA,NA
"864",NA,NA
"865",-118.2436849,34.0522342
"866",-95.3698028,29.7604267
"867",NA,NA
"868",-102.552784,23.634501
"869",-80.1917902,25.7616798
"870",-111.9260519,33.4941704
"871",-99.133208,19.4326077
"872",-100.3161126,25.6866142
"873",NA,NA
"874",-80.056146,26.706767
"875",-100.3161126,25.6866142
"876",-66.58973,6.42375
"877",-98.7623874,20.0910963
"878",NA,NA
"879",-118.2436849,34.0522342
"880",-102.552784,23.634501
"881",NA,NA
"882",NA,NA
"883",-102.552784,23.634501
"884",NA,NA
"885",NA,NA
"886",-118.2436849,34.0522342
"887",NA,NA
"888",NA,NA
"889",NA,NA
"890",NA,NA
"891",NA,NA
"892",NA,NA
"893",-94.6858998,46.729553
"894",-99.1472206,19.3394597
"895",NA,NA
"896",115.8604572,-31.9505269
"897",-117.7831104,33.5422475
